Customer ID,Assigned RM,Customer Type,Priority/Private,Transaction Label,AUM Label,Propensity BAC,Propensity SB,Propensity RD,Score Overall,Score BAC,Score SB,Score RD,Risk Profile
1,RM001,High Net Worth,Priority,Low,Low,Low,High,High,7,1,3,3,Aggressive
3,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Moderate
5,RM001,Very High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Conservative
7,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Growth
8,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Growth
9,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Moderate
14,RM001,Ultra High Net Worth,Priority,High,High,Low,Low,High,5,1,1,3,Growth
15,RM001,High Net Worth,Priority,High,Medium,Low,Medium,Low,4,1,2,1,Moderate
19,RM001,High Net Worth,Priority,Low,Medium,Low,Low,Medium,4,1,1,2,Moderate
23,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
24,RM001,Very High Net Worth,Priority,High,High,High,High,Low,7,3,3,1,Moderate
27,RM001,Ultra High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,
28,RM001,Ultra High Net Worth,Priority,High,High,Low,High,High,7,1,3,3,Moderate
29,RM001,Very High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Conservative
31,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Conservative
33,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
37,RM001,High Net Worth,Priority,Low,Medium,Low,High,Low,5,1,3,1,Balanced
38,RM001,High Net Worth,Priority,Low,Medium,Low,High,Low,5,1,3,1,Moderate
39,RM001,High Net Worth,Priority,High,Medium,Low,Medium,Low,4,1,2,1,
41,RM001,High Net Worth,Priority,Low,Medium,High,High,Low,7,3,3,1,Moderate
43,RM001,High Net Worth,Priority,Low,High,High,Low,High,7,3,1,3,Conservative
45,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
48,RM001,High Net Worth,Priority,Low,Medium,High,Low,Low,5,3,1,1,Balanced
50,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Moderate
54,RM001,High Net Worth,Priority,High,High,Medium,High,High,8,2,3,3,Conservative
56,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Conservative
57,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,High,8,1,4,3,Balanced
58,RM001,High Net Worth,Priority,Low,Medium,Low,Medium,Low,4,1,2,1,Moderate
59,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
62,RM001,Very High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
68,RM001,Very High Net Worth,Priority,Low,High,High,Low,High,7,3,1,3,Growth
72,RM001,High Net Worth,Priority,Low,Low,Low,Low,High,5,1,1,3,Balanced
74,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
75,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Balanced
76,RM001,High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
80,RM001,High Net Worth,Priority,Medium,High,Low,Qualified,Low,6,1,4,1,Growth
83,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Growth
89,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Growth
93,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Moderate
96,RM001,High Net Worth,Priority,Low,Medium,High,Low,Low,5,3,1,1,Balanced
97,RM001,High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Moderate
99,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Balanced
100,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
102,RM001,High Net Worth,Priority,,Low,Low,Low,Low,3,1,1,1,Balanced
105,RM001,Very High Net Worth,Priority,,Zero,Low,Low,Low,3,1,1,1,Balanced
108,RM001,High Net Worth,Priority,Medium,High,Low,High,High,7,1,3,3,Growth
109,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Conservative
111,RM001,High Net Worth,Priority,Medium,High,Low,High,Low,5,1,3,1,Moderate
112,RM001,High Net Worth,Priority,High,Medium,Low,Qualified,Low,6,1,4,1,Growth
113,RM001,Ultra High Net Worth,Priority,Medium,High,High,Low,High,7,3,1,3,Growth
114,RM001,High Net Worth,Priority,,Medium,Low,Low,Low,3,1,1,1,Conservative
117,RM001,High Net Worth,Priority,Low,Low,Low,Qualified,Low,6,1,4,1,Balanced
118,RM001,High Net Worth,Priority,High,High,Low,Qualified,Low,6,1,4,1,Aggressive
121,RM001,High Net Worth,Priority,Medium,High,Low,High,Qualified,8,1,3,4,Growth
132,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Moderate
133,RM001,High Net Worth,Priority,Low,Medium,Low,Low,High,5,1,1,3,Moderate
137,RM001,High Net Worth,Priority,High,High,Low,High,Low,5,1,3,1,Balanced
138,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Moderate
143,RM001,Very High Net Worth,Priority,,High,Low,Low,Low,3,1,1,1,Balanced
146,RM001,High Net Worth,Priority,High,High,Low,Medium,High,6,1,2,3,Growth
147,RM001,High Net Worth,Priority,Medium,Medium,Low,Qualified,Low,6,1,4,1,Balanced
149,RM001,High Net Worth,Priority,Medium,Medium,Low,High,Low,5,1,3,1,Balanced
